Title,Country,Released,Directors,Genre,Starring
13 Golden Nuns,Taiwan,1977,Chang Mei-Chun ,martial arts,"Pai Ying, Han Hsiang-Chin, Liang Hsiu-Shen, Cheung Yu-Yuk, Lam Dai, Ku Cheng, Li Ying "
The 13 Cold-Blooded Eagles,Hong Kong,1993,Chui Fat ,"martial arts, fantasy","Waise Lee Chi-Hung, Cynthia Khan, Yen Shi-Kwan, Chung Fat, Wan Seung-Lam, Lau Ji-Wai, Anthony Cho Cheuk-Nin, Tin Ching, Ng Ting-Ko "
13 Worms,Taiwan,1970,Hou Cheng ,"martial arts, comedy","Violet Pan Ying-Zi, Chiang Ming, Lee Yan-Wa, Fong Wan-Wan, Sek Fung, Chiang Kuang-Chao, Heung Yeung, Ku Kwan, Li Yi-Min, Wong Yu "
14 Blades,Hong Kong,2010,Daniel Lee Yan-Gong ,"martial arts, historical","Donnie Yen Ji-Dan, Vicki Zhao Wei, Kate Tsui Tsz-Shan, Law Kar-Ying, Sammo Hung Kam-Bo, Wu Ma, Wu Chun, Fung Hak-On, Qi Yu-Wu, Chen Kuan-Tai "
The 18 Amazones,South Korea,1977,Kim Jung-Yong ,martial arts,"Dragon Lee, Pearl Lin Yin-Zhu, Chang Yi-Tao, Kim Ki-Ju, Elton Chong, Kim Yu-Haeng, Guk Ching-Woon, Choe Mu-Ung, Kim Myeong-Ah, Kim Dong-Ho "
Shao Lin Si Shi Ba Luo Han,China,2020,"Zhang Zhe-Lin, Li Xi-Jie ","action, historical, martial arts","Xie Miao, Gu Shang-Wei, Long Yang-Yang, Justin Hu Shi-Qun, Yang Tian-Tian, Xu Shao-Hang, Du Guan-Ru, Minowa Yasufumi, Zhang Shu-Yang "
The 18 Bronzemen,Taiwan,1976,Joseph Kuo Nan-Hong ,martial arts,"Tien Peng, Carter Wong Ka-Tat, Polly Shang-Kuan Ling-Feng, Yi Yuan, Ko Yu-Min, Chiang Nan, Liu Ping, Chang Yu, Lu Bi-Yun, Kam Kong "
The 18 Bronze Girls of Shaolin,Taiwan,1978,"Doris Lung Chun-Erh, Kam Kong, Yueh Hua, Li Ying, Liu Shan, Dongfang Yu, Sze-Ma Yu-Chiao, Chow Jun, Chen Chin-Hai, Au-Yeung Chung ","martial arts, fantasy",
18 Shaolin Golden Boys,Hong Kong,1996,Do Wai-Daat ,martial arts,"Yu Rong-Guang, Willie Chi Tin-Sang, Cherie Chan Siu-Ha, Shing Fui-On, Billy Chow Bei-Lei, William Ho Ka-Kui, Chung Gwok-Lung, Lee Chi-Chung "
18 Swirling Riders,Taiwan,1977,Lin Fu-Ti ,martial arts,"Chan Sing, Chia Ling, Lo Lieh, Don Wong Tao, Wen Chiang-Long, Chan Wai-Lau, Fan Dan-Fung, Cheung Ying, Liu Ping, Cheng Fu-Hung "
The Eighteen Jade Arhats,Hong Kong,1978,Cheung Git ,martial arts,"Polly Shang-Kuan Ling-Feng, Li Lung-Hua, Lo Lieh, Lung Fei, Chang Yu, Phillip Ko Fei, Chuen Yuen, Fang Fang, Tung Li, Chiang Ching-Hsia "
18 Secrets of Kung Fu,Taiwan,1980,Chen Hung-Min ,martial arts,"Lee Hoi-Hing, Wong Wing-Sang, Wang Chi-Sheng, Ko Hsiao-Pao, Mao Ching-Shun, Poon Cheung-Ming, Ricky Cheng Tien-Chi, Hsiao Hou-Tao "
18 Shaolin Disciples,Hong Kong,1975,"Hsu Tseng-Hung, Peter Pan Chi-Chun ",martial arts,"Chang Yu, Hsu Feng, Wen Chiang-Long, Carter Wong Ka-Tat, Mang Fei, Wang Ching-Ping, Liu Ping, Hsiao Yao, Ko Yu-Min, Li Min-Lang "
18 Fatal Strikes,Hong Kong,1978,Yang Ching-Chen ,martial arts,"Stephen Tung Wai, Dean Shek Tin, Wen Chiang-Long, Sze-Ma Lung, Shen Hai-Rong, Shih Chung-Tien, Kwan Hung, Shih Ting-Ken, Wong Hoi "
The 36 Crazy Fists,Hong Kong,1977,Chen Chi-Hwa ,martial arts,"Tony Leung Siu-Hung, Yen Shi-Kwan, Ku Feng, Lau Ga-Yung, Michelle Yim, Paul Chun Pui, Fung Hak-On, Jackie Chan, Ma Hon-Yuen, San Kuai, Chan Lau "
Thirty-Six Sword Guards,Hong Kong,1971,Gwan Jing-Leung ,martial arts,"Tanny Tien Ni, Lui Ming, Chan Kei, Han Chiang, Gwan Jing-Leung, Teng Jue-Jen, Lee Mei-Guen, Ching Wa, Tung Li, Cheung Kai "
The 36 Deadly Styles,Hong Kong,1979,Joseph Kuo Nan-Hong ,martial arts,"Jack Lung Sai-Ga, Nick Cheung Lik, Hwang Jang-Lee, Jeannie Chang Yung-Yung, Yen Shi-Kwan, Mao Ching-Shun, Mark Long Kuan-Wu, Fan Mei-Sheng "
The 36th Chamber of Shaolin,Hong Kong,1978,Liu Chia-Liang ,martial arts,"Gordon Liu Chia-Hui, Wong Yu, Lee Hoi-Sang, Lo Lieh, Norman Chu Siu-Keung, Hon Kwok-Choi, Alan Chui Chung-San, Billy Chan Wui-Ngai "
36 Super-Kids,Taiwan,1982,Sun Jung-Fa ,"martial arts, children's","Sonny Yue, Hsiang Yun-Peng, Wei Pin-Ao, Chu Ben-Ke, Ma Chang, Cheung Hung-Gei, Ko Yu-Min, Huang Cheng-Lin, Lin Kuang-Yung, Wang Yao "
The 7 Grandmasters,Taiwan,1978,Joseph Kuo Nan-Hong ,martial arts,"Li Yi-Min, Jack Lung Sai-Ga, Mark Long Kuan-Wu, Chin Yuet-Sang, Alan Chui Chung-San, Wang Fan, Wong Hoi, Eagle Lee Siu-Fei, Corey Yuen Kwai "
Bruce Tuan's 7 Promises,Taiwan,1980,Au-Yeung Wang ,martial arts,"Mang Fei, Chan Sing, Yueh Hua, Ha Ling-Ling, Yi Yuan, Yuen Sam, Lee Seung, Ku Cheng, Gam Boh, Alan Lau Tak-Hoi, Chang Peng "
The 7 Tyrants of Jiangnan,Hong Kong,1962,Lung To ,martial arts,"Yu Kai, Cheng Pik-Ying, Lam Yim, Mui Yan, Yam Yin, Ho Siu-Hung, Cheung Sang, Lau Hak-Suen, Yam Tai-Goon, Ng Ming-Choi, Sammo Hung Kam-Bo "
The 72 Desperate Rebels,Taiwan,1978,Lin Bing ,martial arts,"Pai Ying, Chan Sing, Barry Chan, Tsung Hua, Lung Fei, Miao Tian, Hsieh Han, Tsai Hung, Yu Chung-Chiu, Siu Gam, Yeung Sau-Guen "
8 Avatar,China,2008,"Kwong Yip-Sheng, Luo Fu ","fantasy, romance, comedy, martial arts","Roger Kwok Chun-On, Ho Chung-Wa, Jia Qing, Akina Hong Wah, Hugo Ng Doi-Yung, Shi Yu, Sonija Kwok Sin-Nae, Nikita Mao, Zhu Hai-Fei "
8 Roaming Heroines (Part 1),Hong Kong,1962,Fung Chi-Kong ,martial arts,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan "
8 Roaming Heroines (Part 2),Hong Kong,1962,Fung Chi-Kong ,martial arts,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan "
Lung Wei Village,Taiwan,1978,Tyrone Hsu Tien-Yung ,martial arts,"Polly Shang-Kuan Ling-Feng, Lo Lieh, Yueh Hua, Wang Chi-Sheng, Yip Fei-Yang, Lau Yau-Bun, Lung Tien-Hsiang, Poon Cheung-Ming, To Wai-Wo "
Xin Xi Luo Qi Jian,Taiwan,1986,"Tsung Hua, Lau Jun-Git, Wilson Tong Wai-Shing ","martial arts, historical","Gordon Liu Chia-Hui, Barry Chan, Chang Fu-Chien, Hwa Ling, Robert Mak Tak-Law, Chao Yung-Hsin, Zou Lin-Lin, Chiang Yang, Choi Man-Sing "
DOA: Dead or Alive,China,2006,Corey Yuen Kwai ,"action, martial arts","Jaime Pressly, Devon Aoki, Holly Valance, Sarah Carter, Natassia Malthe, Kane Kosugi, Ngai Sing, Eric Roberts, Silvio Simac, Derek Boyer "
